;Auctions;Order;obname;agent;Oid;type;dir;price;quty;validity
0;Auctions;Order;lvmh;bhd;0.0;L;A;0.014;4819.0;-1.0
1;Auctions;##############################;;;;;;;;
2;Auctions;##############################;;;;;;;;
3;Auctions;##############################;;;;;;;;
4;Auctions;##############################;;;;;;;;
5;Auctions;##############################;;;;;;;;
6;Auctions;##############################;;;;;;;;
7;Auctions;##############################;;;;;;;;
8;Auctions;##############################;;;;;;;;
9;Auctions;##############################;;;;;;;;
10;Auctions;Order;lvmh;moha;1.0;L;B;0.013;3008.0;1.0
11;Auctions;##############################;;;;;;;;
12;Auctions;##############################;;;;;;;;
13;Auctions;##############################;;;;;;;;
14;Auctions;##############################;;;;;;;;
15;Auctions;##############################;;;;;;;;
16;Auctions;##############################;;;;;;;;
17;Auctions;##############################;;;;;;;;
18;Auctions;##############################;;;;;;;;
19;Auctions;##############################;;;;;;;;
20;Auctions;Order;lvmh;bhd;1.0;L;A;0.014;9724.0;-1.0
21;Auctions;##############################;;;;;;;;
22;Auctions;##############################;;;;;;;;
23;Auctions;##############################;;;;;;;;
24;Auctions;##############################;;;;;;;;
25;Auctions;##############################;;;;;;;;
26;Auctions;##############################;;;;;;;;
27;Auctions;##############################;;;;;;;;
28;Auctions;##############################;;;;;;;;
29;Auctions;##############################;;;;;;;;
30;Auctions;Order;lvmh;moha1;2.0;L;B;0.012;740.0;1.0
31;Auctions;##############################;;;;;;;;
32;Auctions;##############################;;;;;;;;
33;Auctions;##############################;;;;;;;;
34;Auctions;##############################;;;;;;;;
35;Auctions;##############################;;;;;;;;
36;Auctions;##############################;;;;;;;;
37;Auctions;##############################;;;;;;;;
38;Auctions;##############################;;;;;;;;
39;Auctions;##############################;;;;;;;;
40;Auctions;Order;lvmh;bhd;2.0;L;A;0.014;9724.0;-1.0
41;Auctions;Order;lvmh;moha1;3.0;L;A;0.015;4192.0;1.0
42;Auctions;##############################;;;;;;;;
43;Auctions;##############################;;;;;;;;
44;Auctions;##############################;;;;;;;;
45;Auctions;##############################;;;;;;;;
46;Auctions;##############################;;;;;;;;
47;Auctions;##############################;;;;;;;;
48;Auctions;##############################;;;;;;;;
49;Auctions;##############################;;;;;;;;
50;Auctions;Order;lvmh;moha;3.0;L;B;0.011;1210.0;2.0
51;Auctions;##############################;;;;;;;;
52;Auctions;##############################;;;;;;;;
53;Auctions;##############################;;;;;;;;
54;Auctions;##############################;;;;;;;;
55;Auctions;##############################;;;;;;;;
56;Auctions;##############################;;;;;;;;
57;Auctions;##############################;;;;;;;;
58;Auctions;##############################;;;;;;;;
59;Auctions;##############################;;;;;;;;
60;Auctions;Order;lvmh;bhd;2.0;L;A;0.014;9724.0;-1.0
61;Auctions;Order;lvmh;moha;4.0;L;A;0.016;3753.0;2.0
62;Auctions;Order;lvmh;moha1;4.0;L;A;0.016;1525.0;2.0
63;Auctions;##############################;;;;;;;;
64;Auctions;##############################;;;;;;;;
65;Auctions;##############################;;;;;;;;
66;Auctions;##############################;;;;;;;;
67;Auctions;##############################;;;;;;;;
68;Auctions;##############################;;;;;;;;
69;Auctions;##############################;;;;;;;;
70;Auctions;Order;lvmh;moha;3.0;L;B;0.011;1210.0;1.0
71;Auctions;##############################;;;;;;;;
72;Auctions;##############################;;;;;;;;
73;Auctions;##############################;;;;;;;;
74;Auctions;##############################;;;;;;;;
75;Auctions;##############################;;;;;;;;
76;Auctions;##############################;;;;;;;;
77;Auctions;##############################;;;;;;;;
78;Auctions;##############################;;;;;;;;
79;Auctions;##############################;;;;;;;;
80;Auctions;Order;lvmh;bhd;2.0;L;A;0.014;9724.0;-1.0
81;Auctions;Order;lvmh;moha;5.0;L;A;0.014;7172.0;2.0
82;Auctions;Order;lvmh;moha1;5.0;L;A;0.014;8581.0;2.0
83;Auctions;Order;lvmh;moha;4.0;L;A;0.016;3753.0;1.0
84;Auctions;Order;lvmh;moha1;4.0;L;A;0.016;1525.0;1.0
85;Auctions;##############################;;;;;;;;
86;Auctions;##############################;;;;;;;;
87;Auctions;##############################;;;;;;;;
88;Auctions;##############################;;;;;;;;
89;Auctions;##############################;;;;;;;;
90;Auctions;##############################;;;;;;;;
91;Auctions;##############################;;;;;;;;
92;Auctions;##############################;;;;;;;;
93;Auctions;##############################;;;;;;;;
94;Auctions;##############################;;;;;;;;
95;Auctions;##############################;;;;;;;;
96;Auctions;##############################;;;;;;;;
97;Auctions;##############################;;;;;;;;
98;Auctions;##############################;;;;;;;;
99;Auctions;##############################;;;;;;;;
100;Auctions;Order;lvmh;bhd;2.0;L;A;0.014;9724.0;-1.0
101;Auctions;Order;lvmh;moha;5.0;L;A;0.014;7172.0;1.0
102;Auctions;Order;lvmh;moha1;5.0;L;A;0.014;8581.0;1.0
103;Auctions;Order;lvmh;moha;6.0;L;A;0.014;1200.0;1.0
104;Auctions;Order;lvmh;moha1;6.0;L;A;0.017;3700.0;1.0
105;Auctions;##############################;;;;;;;;
106;Auctions;##############################;;;;;;;;
107;Auctions;##############################;;;;;;;;
108;Auctions;##############################;;;;;;;;
109;Auctions;##############################;;;;;;;;
110;Auctions;##############################;;;;;;;;
111;Auctions;##############################;;;;;;;;
112;Auctions;##############################;;;;;;;;
113;Auctions;##############################;;;;;;;;
114;Auctions;##############################;;;;;;;;
115;Auctions;##############################;;;;;;;;
116;Auctions;##############################;;;;;;;;
117;Auctions;##############################;;;;;;;;
118;Auctions;##############################;;;;;;;;
119;Auctions;##############################;;;;;;;;
120;Auctions;Order;lvmh;bhd;2.0;L;A;0.014;9724.0;-1.0
121;Auctions;Order;lvmh;moha;7.0;L;A;0.017;7960.0;1.0
122;Auctions;##############################;;;;;;;;
123;Auctions;##############################;;;;;;;;
124;Auctions;##############################;;;;;;;;
125;Auctions;##############################;;;;;;;;
126;Auctions;##############################;;;;;;;;
127;Auctions;##############################;;;;;;;;
128;Auctions;##############################;;;;;;;;
129;Auctions;##############################;;;;;;;;
130;Auctions;Order;lvmh;moha1;7.0;L;B;0.009;1374.0;1.0
131;Auctions;##############################;;;;;;;;
132;Auctions;##############################;;;;;;;;
133;Auctions;##############################;;;;;;;;
134;Auctions;##############################;;;;;;;;
135;Auctions;##############################;;;;;;;;
136;Auctions;##############################;;;;;;;;
137;Auctions;##############################;;;;;;;;
138;Auctions;##############################;;;;;;;;
139;Auctions;##############################;;;;;;;;
140;Auctions;Order;lvmh;bhd;2.0;L;A;0.014;9724.0;-1.0
141;Auctions;Order;lvmh;moha1;8.0;L;A;0.016;3403.0;1.0
142;Auctions;Order;lvmh;moha;8.0;L;A;0.017;1647.0;1.0
143;Auctions;##############################;;;;;;;;
144;Auctions;##############################;;;;;;;;
145;Auctions;##############################;;;;;;;;
146;Auctions;##############################;;;;;;;;
147;Auctions;##############################;;;;;;;;
148;Auctions;##############################;;;;;;;;
149;Auctions;##############################;;;;;;;;
150;Auctions;##############################;;;;;;;;
151;Auctions;##############################;;;;;;;;
152;Auctions;##############################;;;;;;;;
153;Auctions;##############################;;;;;;;;
154;Auctions;##############################;;;;;;;;
155;Auctions;##############################;;;;;;;;
