;Unnamed: 0;Unnamed: 0.1;Tick;numtick;obname;bestask;bestbid;price;quty;volatility;cum_quty;cum_diff;vola_diff;return;volatility_return;impor_volatility_return
0;0;0;Tick;1;lvmh;0.014;0.012;0.014;50000;0.0;61013.830130598624;35.04311575794831;0.0;0.0;;
1;1;1;Tick;2;lvmh;0.014;0.012;0.014;239480;0.0;353245.67092411383;28.23985991429289;0.0;0.0;;
2;2;2;Tick;3;lvmh;0.014;0.012;0.014;39480;0.0;401422.19119523454;31.298286804248967;0.0;0.0;0.0;0.0
3;3;3;Tick;4;lvmh;0.014;0.012;0.013;20000;0.0;425827.7232474739;30.729070510962625;0.0;0.0714285714285715;0.0;0.0
4;4;4;Tick;5;lvmh;0.012;0.011;0.012;272586;0.008000000000000007;758458.041247061;29.48869898862809;-0.0;0.07692307692307686;0.03571428571428575;-1.1796119636642288e-12
5;5;5;Tick;6;lvmh;0.012;0.011;0.011;150100;0.014310835055998656;941621.559299118;27.96674779455639;-0.0;0.08333333333333341;0.040674187963344495;-2.0816681711721685e-13
6;6;6;Tick;7;lvmh;0.012;0.011;0.012;221767;0.020238577025077642;1212238.6406305674;28.1662450591772;-0.0;-0.090909090909091;0.04246721849699179;-4.85722573273506e-13
7;7;7;Tick;8;lvmh;0.012;0.011;0.011;979153;0.019439772681406592;2407076.136907888;26.96667569917224;-0.0;0.08333333333333341;0.06244595823862198;-8.326672684688674e-13
8;8;8;Tick;9;lvmh;0.012;0.011;0.012;1027283;0.020839522890069115;3660645.546068923;26.41079599786739;-0.0;-0.090909090909091;0.06198436927056877;-9.020562075079397e-13
9;9;9;Tick;10;lvmh;0.012;0.011;0.011;500068;0.01977652929892177;4270866.826183887;25.767869803488193;-0.0;0.08333333333333341;0.0702367880330866;-1.2490009027033011e-12
10;10;10;Tick;11;lvmh;0.012;0.011;0.011;1105488;0.02023857702507763;5619867.9670521915;27.70009602846078;-0.0;0.0;0.06967606421457982;-9.71445146547012e-13
11;11;11;Tick;12;lvmh;0.012;0.011;0.01;694947;0.020353244101482832;6467895.531207574;28.462960563092636;-0.0;0.09090909090909084;0.06642215626594179;-1.1102230246251565e-12
