Price;obname;price;quty;dirTrigger;AgTrigger;Oid;ag2;Oid2;bestask;bestbid
Price;lvmh;4636;50;B;moha67;1;moha53;1;4636;4676
Price;lvmh;4636;3;B;moha67;1;moha60;1;4636;4781
Price;lvmh;4696;43;B;moha66;1;moha60;1;4696;4781
Price;lvmh;4789;15;A;moha89;1;moha70;1;4653;4789
Price;lvmh;4789;9;A;saad4;1;moha70;1;4666;4789
Price;lvmh;4781;7;A;saad4;1;moha60;1;4666;4781
Price;lvmh;4779;15;A;saad4;1;moha52;1;4666;4779
Price;lvmh;4633;49;B;moha17;1;moha87;1;4633;4680
Price;lvmh;4633;2;B;moha17;1;moha95;1;4633;4681
Price;lvmh;4666;6;B;saad4;1;moha95;1;4666;4681
Price;lvmh;4656;7;B;moha15;1;moha30;1;4656;4658
Price;lvmh;4666;34605;B;saad4;1;saad6;1;4666;4797
Price;lvmh;4693;35;B;moha0;1;saad6;1;4693;4797
Price;lvmh;4753;13;B;moha58;1;saad6;1;4753;4797
Price;lvmh;4773;51;B;moha72;1;saad6;1;4773;4797
Price;lvmh;4795;15;B;moha21;1;saad6;1;4795;4797
Price;lvmh;4797;24;A;moha49;1;saad6;1;4641;4797
Price;lvmh;4797;10;A;moha22;1;saad6;1;4699;4797
Price;lvmh;4797;11;A;moha91;1;saad6;1;4744;4797
Price;lvmh;4797;12;A;moha5;1;saad6;1;4692;4797
Price;lvmh;4797;28;A;moha38;1;saad6;1;4638;4797
Price;lvmh;4797;12722;A;saad8;1;saad6;1;4626;4797
Price;lvmh;4767;15;A;saad8;1;moha46;1;4626;4767
Price;lvmh;4731;40;A;saad8;1;moha26;1;4626;4731
Price;lvmh;4724;44;A;saad8;1;moha62;1;4626;4724
Price;lvmh;4719;49;A;saad8;1;moha96;1;4626;4719
Price;lvmh;4711;43;A;saad8;1;moha20;1;4626;4711
Price;lvmh;4706;2418;A;saad8;1;saad9;1;4626;4706
Price;lvmh;4734;47;A;saad11;1;moha12;1;4723;4734
Price;lvmh;4717;23;A;moha28;1;moha69;1;4714;4717
Price;lvmh;4714;1;B;moha28;1;moha31;1;4714;4786
Price;lvmh;4714;6;B;moha28;1;moha23;1;4714;4719
Price;lvmh;4714;10;B;moha28;1;moha56;1;4714;4738
Price;lvmh;4706;10;A;moha42;1;saad9;1;4670;4706
Price;lvmh;4706;33;A;moha74;1;saad9;1;4674;4706
Price;lvmh;4706;9;A;moha19;1;saad9;1;4639;4706
Price;lvmh;4706;51;A;moha14;1;saad9;1;4671;4706
Price;lvmh;4706;33472;A;saad0;1;saad9;1;4699;4706
Price;lvmh;4703;20;A;saad0;1;moha90;1;4699;4703
Price;lvmh;4699;38;B;saad0;1;moha82;1;4699;4766
Price;lvmh;4699;53;B;saad0;1;moha92;1;4699;4726
Price;lvmh;4699;23;B;saad0;1;moha65;1;4699;4790
Price;lvmh;4690;0;A;moha25;1;moha93;1;4677;4690
Price;lvmh;4690;2;A;moha40;1;moha93;1;4664;4690
Price;lvmh;4695;2;B;moha9;1;saad17;1;4695;4717
Price;lvmh;4699;830;B;saad0;1;saad17;1;4699;4717
Price;lvmh;4714;8;B;moha28;1;saad17;1;4714;4717
Price;lvmh;4723;44;B;saad11;1;moha43;1;4723;4759
Price;lvmh;4723;687;B;saad11;1;saad19;1;4723;4728
Price;lvmh;4728;38;B;moha50;1;saad19;1;4728;4728
Price;lvmh;4730;3;B;saad12;1;moha51;1;4730;4778
Price;lvmh;4728;28;A;moha68;1;saad19;1;4674;4728
